JobID	ExitCode	State	MaxRSS	Elapsed
27127630_143.extern	0:0	COMPLETED		05:08:27
27127630_144	0:0	COMPLETED		00:04:41
27127630_144.batch	0:0	COMPLETED	408184K	00:04:41
27127630_144.extern	0:0	COMPLETED		00:04:41
27127630_145	0:0	COMPLETED		00:18:34
27127630_145.batch	0:0	COMPLETED	738664K	00:18:34
27127630_145.extern	0:0	COMPLETED		00:18:34
27127630_146	0:0	COMPLETED		00:04:35
27127630_146.batch	0:0	COMPLETED	406424K	00:04:35
27127630_146.extern	0:0	COMPLETED		00:04:35
27127630_147	0:0	COMPLETED		00:37:58
27127630_147.batch	0:0	COMPLETED	1369852K	00:37:58
27127630_147.extern	0:0	COMPLETED		00:37:58
27127630_148	0:0	COMPLETED		00:12:55
27127630_148.batch	0:0	COMPLETED	780M	00:12:55
27127630_148.extern	0:0	COMPLETED		00:12:55
27127630_149	0:0	COMPLETED		01:34:25
27127630_149.batch	0:0	COMPLETED	3949876K	01:34:25
27127630_149.extern	0:0	COMPLETED		01:34:25
27127630_150	0:0	COMPLETED		00:08:11
27127630_150.batch	0:0	COMPLETED	851088K	00:08:11
27127630_150.extern	0:0	COMPLETED		00:08:11
27127630_151	0:0	COMPLETED		00:07:27
27127630_151.batch	0:0	COMPLETED	543956K	00:07:27
27127630_151.extern	0:0	COMPLETED		00:07:27
27127630_152	0:0	COMPLETED		00:32:05
27127630_152.batch	0:0	COMPLETED	980244K	00:32:05
27127630_152.extern	0:0	COMPLETED		00:32:05
27127630_153	0:0	COMPLETED		01:01:48
27127630_153.batch	0:0	COMPLETED	1446228K	01:01:48
27127630_153.extern	0:0	COMPLETED		01:01:48
27127630_154	0:0	COMPLETED		00:12:47
27127630_154.batch	0:0	COMPLETED	698496K	00:12:47
27127630_154.extern	0:0	COMPLETED		00:12:47
27127630_155	0:0	COMPLETED		01:14:02
