JobID|ExitCode|State|MaxRSS|Elapsed
13936577_127.batch|0:0|COMPLETED|390624K|01:48:35
13936577_127.extern|0:0|COMPLETED|752K|01:48:37
13936577_128|0:0|COMPLETED||01:47:25
13936577_128.batch|0:0|COMPLETED|394521K|01:47:25
13936577_128.extern|0:0|COMPLETED|748K|01:47:26
13936577_129|0:0|COMPLETED||01:32:58
13936577_129.batch|0:0|COMPLETED|392916K|01:32:58
13936577_129.extern|0:0|COMPLETED|746K|01:33:40
13936577_130|0:0|COMPLETED||01:34:43
13936577_130.batch|0:0|COMPLETED|390779K|01:34:43
13936577_130.extern|0:0|COMPLETED|746K|01:35:53
13936577_131|0:0|COMPLETED||01:47:25
13936577_131.batch|0:0|COMPLETED|394904K|01:47:25
13936577_131.extern|0:0|COMPLETED|750K|01:47:28
13936577_132|0:0|COMPLETED||01:38:38
13936577_132.batch|0:0|COMPLETED|393030K|01:38:38
13936577_132.extern|0:0|COMPLETED|748K|01:39:38
13936577_133|0:0|COMPLETED||01:32:43
13936577_133.batch|0:0|COMPLETED|392683K|01:32:43
13936577_133.extern|0:0|COMPLETED|750K|01:33:40
13936577_134|0:0|COMPLETED||01:24:28
13936577_134.batch|0:0|COMPLETED|393178K|01:24:28
13936577_134.extern|0:0|COMPLETED|750K|01:25:11
13936577_135|0:0|COMPLETED||01:43:43
13936577_135.batch|0:0|COMPLETED|382019K|01:43:43
13936577_135.extern|0:0|COMPLETED|748K|01:43:43
13936577_136|0:0|COMPLETED||00:57:56
13936577_136.batch|0:0|COMPLETED|395889K|00:57:56
13936577_136.extern|0:0|COMPLETED|748K|00:57:58
13936577_137|0:0|COMPLETED||01:54:30
13936577_137.batch|0:0|COMPLETED|394692K|01:54:30
13936577_137.extern|0:0|COMPLETED|746K|01:54:35
13936577_138|0:0|COMPLETED||01:38:42
13936577_138.batch|0:0|COMPLETED|396846K|01:38:42
13936577_138.extern|0:0|COMPLETED|750K|01:39:38
13936577_139|0:0|COMPLETED||01:32:03
13936577_139.batch|0:0|COMPLETED|391257K|01:32:03
13936577_139.extern|0:0|COMPLETED|746K|01:32:15
13936577_140|0:0|COMPLETED||01:31:48
13936577_140.batch|0:0|COMPLETED|389247K|01:31:48
13936577_140.extern|0:0|COMPLETED|748K|01:32:36
13936577_141|0:0|COMPLETED||00:04:19
13936577_141.batch|0:0|COMPLETED|818K|00:04:19
13936577_141.extern|0:0|COMPLETED|746K|00:04:21
